"STATE/UT","CRIME HEAD","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"TOTAL (ALL-INDIA)","ROBBERY OF SCs",133,105,70,72,80,90,86,81,67,75,54,40
"ANDHRA PRADESH","ARSON OF SCs",6,12,4,20,9,13,17,5,12,17,14,7
"ARUNACHAL PRADESH","ARSON OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"ASSAM","ARSON OF SCs",1,2,3,1,7,7,1,3,0,0,0,0
"BIHAR","ARSON OF SCs",17,8,42,30,19,22,12,44,40,15,13,47
"CHHATTISGARH","ARSON OF SCs",0,5,1,4,0,0,0,3,0,2,0,2
"GOA","ARSON OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"GUJARAT","ARSON OF SCs",9,13,13,15,8,11,16,10,3,4,10,3
"HARYANA","ARSON OF SCs",5,4,1,0,5,1,1,2,1,2,6,4
"HIMACHAL PRADESH","ARSON OF SCs",0,1,0,0,0,0,0,0,0,0,0,0
"JAMMU & KASHMIR","ARSON OF SCs",0,1,0,0,0,0,0,0,0,0,0,0
"JHARKHAND","ARSON OF SCs",2,2,2,2,8,3,2,0,0,0,0,1
"KARNATAKA","ARSON OF SCs",0,2,3,5,4,1,1,1,0,1,1,1
"KERALA","ARSON OF SCs",2,4,2,1,0,1,1,0,1,2,2,5
"MADHYA PRADESH","ARSON OF SCs",50,62,53,26,38,34,32,41,31,24,28,27
"MAHARASHTRA","ARSON OF SCs",5,7,5,11,7,9,19,10,8,12,7,9
"MANIPUR","ARSON OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"MEGHALAYA","ARSON OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"MIZORAM","ARSON OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"NAGALAND","ARSON OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"ODISHA","ARSON OF SCs",13,10,12,10,5,17,19,14,16,6,17,31
"PUNJAB","ARSON OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"RAJASTHAN","ARSON OF SCs",47,76,51,41,32,39,36,29,39,31,28,32
"SIKKIM","ARSON OF SCs",0,0,0,0,0,0,0,0,2,0,0,0
"TAMIL NADU","ARSON OF SCs",18,10,0,3,11,7,15,8,4,4,4,5
"TRIPURA","ARSON OF SCs",0,0,0,0,0,0,0,0,0,0,0,1
"UTTAR PRADESH","ARSON OF SCs",178,103,12,40,57,61,66,53,38,29,39,39
"UTTARAKHAND","ARSON OF SCs",1,0,0,2,0,0,0,1,0,0,0,0
"WEST BENGAL","ARSON OF SCs",0,0,0,0,0,0,0,0,0,1,0,0
"TOTAL (STATES)","ARSON OF SCs",354,322,204,211,210,226,238,224,195,150,169,214
"A & N ISLANDS","ARSON OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"CHANDIGARH","ARSON OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"D & N HAVELI","ARSON OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"DAMAN & DIU","ARSON OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"DELHI","ARSON OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"LAKSHADWEEP","ARSON OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"PUDUCHERRY","ARSON OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"TOTAL (UTs)","ARSON OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"TOTAL (ALL-INDIA)","ARSON OF SCs",354,322,204,211,210,226,238,224,195,150,169,214
"ANDHRA PRADESH"," HURT OF SCs",518,568,615,474,459,657,541,651,722,709,708,626
"ARUNACHAL PRADESH"," HURT OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"ASSAM"," HURT OF SCs",4,14,23,3,111,114,48,24,0,0,0,0
"BIHAR"," HURT OF SCs",378,360,492,389,319,336,381,433,539,351,355,191
"CHHATTISGARH"," HURT OF SCs",101,72,102,89,71,48,57,16,13,11,82,81
